Classificacao;Quantidade
"Assistencia Virtual e Educacao";4861
"Diagnostico e Protecao Fitossanitaria";1142
"Mercado Risco e Previsao";813
"Robotica e Mecanizacao";471
"Visao Computacional e Fenotipagem";433
"Cadeia Produtiva e Qualidade";382
"Clima, Solo e Meio Ambiente";354
"IA: Arquiteturas e Metodos";343
"Governanca, Gestao e Impacto Social";336
"Recursos Hidricos";130
"IoT e Sensores";113
"Agricultura de Precisao e Cultivo";54
